Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1uf,C_0805_2012Metric,45.72,-35.88,90,top
C4,1uf,C_0805_2012Metric,64.77,-89.85,270,top
C5,1uf,C_0805_2012Metric,63.5,-29.21,90,top
C6,1uf,C_0805_2012Metric,33.02,-90.17,270,top
C7,1uf,C_0805_2012Metric,33.02,-29.53,90,top
D2,SS34,DIOM5026X262N,59.69,-87.63,90,top
D3,SS34,DIOM5026X262N,59.69,-33.02,270,top
D4,SS34,DIOM5026X262N,36.83,-86.36,90,top
D5,SS34,DIOM5026X262N,36.83,-31.75,270,top
Q1,AO3400,SOT95P280X125-3N,63.5,-83.82,90,top
Q2,AO3400,SOT95P280X125-3N,60.96,-40.64,0,top
Q3,AO3400,SOT95P280X125-3N,34.29,-78.74,180,top
Q4,AO3400,SOT95P280X125-3N,34.29,-40.64,180,top
R1,100,R_0805_2012Metric,68.58,-77.1125,90,top
R2,10K,R_0805_2012Metric,68.58,-81.28,270,top
R3,100,R_0805_2012Metric,67.31,-41.5525,270,top
R4,100,R_0805_2012Metric,29.21,-77.47,90,top
R5,10K,R_0805_2012Metric,67.31,-37.7425,90,top
R6,10K,R_0805_2012Metric,29.21,-81.6375,270,top
R7,100,R_0805_2012Metric,29.21,-40.2825,270,top
R8,10K,R_0805_2012Metric,29.21,-36.4725,90,top
R9,10k,R_0805_2012Metric,53.34,-36.4725,90,top
U2,TLV75533PDBVR,SOT95P280X145-5N,49.53,-36.83,180,top
